data;tipo;detalhes;longitude;latitude
2/24/2014;Colisoes;Moto;-34.925988;-8.029113
2/28/2014;Colisoes;Moto;-34.903339;-8.020438
3/1/2014;Ciclistas;Ciclista;-34.949516;-8.034818
3/1/2014;Atropelamentos;Pedestre;-34.924636;-8.011427
3/2/2014;Atropelamentos;Pedestre;-34.941486;-8.016449
3/3/2014;Atropelamentos;Pedestre;-34.895518;-8.115814
3/4/2014;Ciclistas;Ciclista;-34.895561;-8.115803
3/4/2014;Atropelamentos;Pedestre;-34.932779;-8.069481
3/4/2014;Atropelamentos;Pedestre;-34.876217;-8.061715
3/5/2014;Atropelamentos;Pedestre;-34.886355;-8.021134
3/6/2014;Atropelamentos;Pedestre;-34.911858;-8.095959
3/6/2014;Atropelamentos;Pedestre;-34.879929;-8.056723
3/7/2014;Atropelamentos;Pedestre;-34.917791;-8.026011
3/7/2014;Atropelamentos;Pedestre;-34.878695;-8.039858
3/7/2014;Atropelamentos;Pedestre;-34.949956;-8.034456
3/7/2014;Atropelamentos;Pedestre;-34.89908;-8.078228
3/9/2014;Ciclistas;Ciclista;-34.882665;-8.066262
3/10/2014;Atropelamentos;Pedestre;-34.890389;-8.019902
3/10/2014;Atropelamentos;Pedestre;-34.918655;-8.02311
3/10/2014;Atropelamentos;Pedestre;-34.928455;-8.097728
3/11/2014;Atropelamentos;Pedestre;-34.932878;-8.082605
3/12/2014;Atropelamentos;Pedestre;-34.873803;-8.049945
3/13/2014;Atropelamentos;Pedestre;-34.879913;-8.055097
3/14/2014;Atropelamentos;Pedestre;-34.890121;-8.108453
3/14/2014;Atropelamentos;Pedestre;-34.899992;-8.132221
3/15/2014;Atropelamentos;Pedestre;-34.924003;-8.04236
3/15/2014;Atropelamentos;Pedestre;-34.937929;-8.08602
3/16/2014;Ciclistas;Ciclista;-34.881871;-8.024194
3/16/2014;Atropelamentos;Pedestre;-34.917952;-8.00336
3/16/2014;Atropelamentos;Pedestre;-34.931467;-8.013851
3/16/2014;Atropelamentos;Acidente com animal;-34.914851;-8.013846
3/17/2014;Atropelamentos;Acidente com animal;-34.90026;-8.077819
3/18/2014;Atropelamentos;Pedestre;-34.916289;-8.062416
3/19/2014;Atropelamentos;Pedestre;-34.926068;-8.018478
3/20/2014;Atropelamentos;Pedestre;-34.930183;-8.016332
3/21/2014;Ciclistas;Ciclista;-34.921288;-8.106403
3/21/2014;Atropelamentos;Pedestre;-34.88017;-8.036257
3/22/2014;Ciclistas;Ciclista;-34.891752;-8.04739
3/22/2014;Atropelamentos;Pedestre;-34.917971;-8.037943
3/23/2014;Ciclistas;Ciclista;-34.929882;-8.088378
3/23/2014;Atropelamentos;Pedestre;-34.92584;-8.029315
3/23/2014;Atropelamentos;Pedestre;-34.888351;-8.020715
3/25/2014;Ciclistas;Ciclista;-34.911847;-8.108846
3/25/2014;Atropelamentos;Pedestre;-34.908669;-8.041027
3/26/2014;Atropelamentos;Pedestre;-34.882177;-8.059925
3/28/2014;Ciclistas;Ciclista;-34.874886;-8.044623
3/28/2014;Atropelamentos;Pedestre;-34.915473;-8.022048
